№;Месяц;Группировка;Гос. номер;Пробег в поездках;Моточасы;Моточасы в движении;Моточасы без движения;Заправлено;Потрачено по ДУТ всего;Потрачено по ДУТ в движении;Ср. расход по ДУТ всего;Потрачено по ДУТ на холостом ходу;Ср. расход по ДУТ на холостом ходу;Ср. расход по ДУТ в движении;Ср. скорость;Макс. скорость;;
6.4;Декабрь 2023;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;8 099;250,2;173,4;72,9;3 220;3 316;3 160;36,7;295;4,1;35,0;52;107;;
6.5;Декабрь 2023;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;4 089;230,7;139,3;91,4;2 013;2 070;1 866;46,8;237;2,5;42,4;32;96;;
6.6;Декабрь 2023;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;10 531;446,6;214,1;232,2;;;;;;;;56;276;;
6.7;Декабрь 2023;MAN М065МН777 ООО КР ГРУПП;М065МН777;6 082;131,3;86,4;44,7;;;;;;;;38;107;;
6.8;Декабрь 2023;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;4 095;284,4;120,8;163,0;;;;;;;;36;106;;
6.9;Декабрь 2023;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;7 457;237,5;178,6;57,2;;;;;;;;54;139;;
6.10;Декабрь 2023;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;7 751;201,7;144,8;54,3;1 715;1 819;2 087;29,3;102;1,9;33,7;43;109;;
6.11;Декабрь 2023;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;4 696;112,5;82,2;30,2;1 182;1 374;1 275;32,8;72;2,4;30,5;51;207;;
6.12;Декабрь 2023;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;6 811;195,6;142,1;47,8;2 379;2 284;2 077;34,4;333;7,0;31,4;45;220;;
6.13;Декабрь 2023;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;8 224;201,0;158,8;41,9;2 645;2 754;2 573;33,5;215;5,1;31,3;51;102;;
6.14;Декабрь 2023;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;8 392;235,1;166,0;65,0;3 128;3 090;2 715;39,3;220;3,4;34,7;49;126;;
6.15;Декабрь 2023;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;3 824;154,9;114,5;38,2;1 618;1 627;1 425;34,2;274;7,2;31,2;38;335;;
6.16;Декабрь 2023;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;1 605;73,1;31,8;40,9;464;510;401;39,1;128;3,1;31,1;39;107;;
6.17;Декабрь 2023;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;11 036;252,8;199,0;53,5;3 512;3 655;3 483;33,1;252;4,7;31,6;55;304;;
6.18;Декабрь 2023;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;6 679;197,9;105,3;92,3;2 264;2 320;2 063;37,3;230;2,5;33,9;59;111;;
6.19;Декабрь 2023;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;13 808;323,8;217,3;104,6;3 898;3 899;3 591;34,2;233;2,2;31,6;51;259;;
6.20;Декабрь 2023;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;5 496;184,1;134,0;44,4;2 272;1 982;1 549;48,5;151;6,3;38,4;37;166;;
6.21;Декабрь 2023;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;9 000;258,0;187,0;60,7;3 224;3 265;2 829;41,3;399;6,8;36,0;43;115;;
6.22;Декабрь 2023;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;8 938;253,9;197,8;56,1;4 158;3 981;3 905;36,4;123;2,2;35,7;56;122;;
1.1;Апрель 2024;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;8 227;155,7;138,3;13,1;2 669;2 429;2 261;30,8;24;1,9;28,7;60;235;;
1.2;Апрель 2024;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;13 204;;;;;;;;;;;66;196;;
1.3;Апрель 2024;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;7 607;160,4;142,5;17,0;2 942;2 808;2 639;37,8;52;3,0;35,6;50;303;;
1.4;Апрель 2024;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;14 273;262,7;226,1;34,4;3 985;4 030;4 081;30,1;133;3,9;30,5;60;250;;
1.5;Апрель 2024;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;2 926;116,3;85,7;28,8;800;1 097;1 057;37,5;58;1,0;37,7;33;141;;
1.6;Апрель 2024;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;13 132;271,5;203,6;66,4;;;;;;;;67;439;;
1.7;Апрель 2024;MAN М065МН777 ООО КР ГРУПП;М065МН777;8 179;202,6;161,7;37,7;;;;;;;;44;164;;
1.8;Апрель 2024;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;11 265;200,1;176,1;23,8;;;;;;;;64;211;;
1.9;Апрель 2024;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;7 498;187,6;154,0;31,9;2 145;2 196;2 210;31,5;42;1,3;31,8;46;146;;
1.10;Апрель 2024;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;15 762;257,2;235,0;21,5;4 457;4 445;4 400;30,8;39;1,8;30,5;61;315;;
1.11;Апрель 2024;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;14 070;235,5;206,9;25,6;5 131;4 835;4 331;38,2;222;8,8;34,3;64;257;;
1.12;Апрель 2024;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;7 900;161,4;135,6;25,1;2 527;2 616;2 397;35,5;118;4,9;32,6;55;289;;
1.13;Апрель 2024;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;3 571;187,5;88,8;96,4;1 217;1 326;1 110;36,6;431;4,5;30,8;38;222;;
1.14;Апрель 2024;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;8 016;102,2;78,1;23,6;1 144;1 241;1 132;27,6;79;3,3;25,4;58;135;;
1.15;Апрель 2024;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;8 017;192,4;157,4;34,3;2 644;2 537;2 465;31,8;225;6,6;31,0;49;361;;
1.16;Апрель 2024;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;7 332;474,9;182,6;290,3;2 846;2 849;2 413;40,2;527;1,8;34,0;39;185;;
1.17;Апрель 2024;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;10 366;183,7;156,7;25,9;3 798;3 300;2 965;32,9;45;1,7;29,6;64;459;;
1.18;Апрель 2024;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;4 874;136,7;112,1;18,5;1 851;1 724;1 455;43,6;93;5,4;37,3;40;220;;
1.19;Апрель 2024;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;7 654;186,0;137,0;47,6;2 458;2 480;2 207;37,2;137;3,0;33,3;52;243;;
1.20;Апрель 2024;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;2 193;32,4;26,5;5,9;414;412;404;19,6;6;1,1;19,3;81;122;;
2.1;Май 2024;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;10 056;187,5;157,8;22,5;3 136;3 468;3 210;36,5;39;1,7;33,8;62;163;;
2.2;Май 2024;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;14 997;;;;;;;;;;;68;232;;
2.3;Май 2024;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;4 995;175,1;135,8;25,5;1 648;1 753;1 691;39,4;90;3,5;38,2;33;222;;
